branch_f4	site_f4
-4735.819448742121	-5.2662e-05
1800.7832404876667	1.38996e-05
-18563.57861645522	-0.0002231
300657.3437281785	0.0029689803999999997
223971.7590523399	0.0022233383999999998
-3378.184986844148	-4.04156e-05
-15916.456487927793	-0.0001556992
104584.13075717498	0.0010725796000000001
400257.26105464116	0.0039910612
104331.03137996506	0.0010041812
325561.83476040023	0.0032590864
484266.0258711738	0.0048558632
379157.1622481253	0.0037720403999999996
278545.4612707906	0.0027546912
-751.7916806266533	-4.4272000000000006e-06
-6118.446076708281	-7.40956e-05
75447.51198952338	0.0007427703999999999
240460.00999972285	0.0024294372
-6797.16934272734	-7.6002e-05
-7782.726527731474	-6.84792e-05
85044.59186781364	0.0008488308
-10031.291212672058	-0.0001198276
296520.77192048635	0.0029585328
-6779.018038613147	-7.26348e-05
118632.1164386515	0.00120763
399995.3596660277	0.003994128400000001
123396.24099172192	0.0011909732
157503.02207792283	0.0015638636
268037.9121050028	0.0026376859999999998
-1956.7576301103652	-1.8682000000000002e-05
-17986.697774469823	-0.00019336119999999998
374287.14978211623	0.0037057828
57112.93648231124	0.0005461088
-5148.177441641841	-4.65756e-05
-7675.610029262892	-8.082199999999999e-05
2691.5494032603774	2.337e-05
-709.752161775132	-1.37348e-05
77859.22666896175	0.0007673196
-4880.344439491906	-5.38216e-05
-13678.30560727256	-0.0001325036
361112.91463281616	0.0035886576
-14231.208664452724	-0.00015240120000000002
267.8330021498971	-7.246000000000001e-06
428830.5896520362	0.00425347
-1878.9871931495154	-3.39384e-05
51852.64113989579	0.0005077355999999999
162687.67757466628	0.0015975964
268766.9242066472	0.0026488892
189788.65125424464	0.0018628744
208599.62196235923	0.0020314651999999997
-7410.70460577799	-8.2584e-05
-23530.164719034346	-0.0002537512
-4610.36044517977	-4.3930799999999996e-05
315099.4260189608	0.0031153608
189684.4602394507	0.0018495523999999999
52476.8132300891	0.0005005928
224637.83640747698	0.0022269872000000002
324702.3843389488	0.0032207748
266153.8333975305	0.0026360916
48975.93509399257	0.00046445480000000005
-1335.0968176225138	-2.1588800000000002e-05
328731.19372752385	0.0032524784
183488.65895131376	0.0018281116
73023.54117723435	0.00073034
261978.21576974783	0.0025547452
-4046.0544161264897	-6.68092e-05
263997.31157727685	0.0026492452000000002
346123.2800350203	0.0034316679999999997
884.6491941330238	-1.2461199999999999e-05
-14175.991059000069	-0.0001336588
73610.89192182179	0.0007613667999999999
140524.21661258244	0.0014318935999999998
-5768.926418029352	-3.7542e-05
367169.323439847	0.0036578604
81639.03687969655	0.0008125884
4724.08262690444	5.30708e-05
-11918.982517458284	-0.0001016312
65494.742195497296	0.0006749216000000001
-1705.7397522294784	-2.4406799999999998e-05
381759.51071725274	0.0037785532
192624.65092152887	0.0019165128
144396.57710710252	0.0014471172
-11260.65378541827	-0.0001133192
208142.84921295804	0.0020818864
116625.47111267872	0.0011422256
-4654.180128916993	-4.7716e-05
296427.881143167	0.0029487476
297202.78195194365	0.0029682884
571476.7028024062	0.0056562464
-15368.547179620351	-0.000156456
-5012.724512523207	-2.83812e-05
146846.24062139823	0.0014389236
202762.84233757918	0.0020392904
504254.3841786442	0.0050075632
-7957.628762717948	-9.92288e-05
381190.79992305377	0.0038052868
425173.2069343325	0.00421633
-24589.8034348392	-0.000263696
244110.95976539262	0.0023971395999999997
345619.9566461399	0.0034473376
-18651.78493772664	-0.0002055956
-15013.751183472696	-0.00016569799999999998
90706.93518843358	0.000901288
213523.25836429035	0.002089254
-15945.05719922846	-0.00017437439999999998
-13574.298805618846	-0.0001534948
-4320.533338660423	-5.5204399999999996e-05
220545.80310685688	0.0021770164
145158.91322170847	0.0014080511999999999
356156.4678258863	0.0035459352
